dataset,n_e_neurons,n_i_neurons,n_recorded_e,n_recorded,n_train_trials,n_val_trials,best_val_corr,best_epoch,epochs_trained,training_time_sec,best_k_clusters,cluster_silhouette,cluster_permutation_p,mean_gini,gini_vs_shuffle_p,mean_entropy,entropy_vs_shuffle_p,mean_effective_targets,h0_E_mean,h0_I_mean,h0_ei_pval,E_corr_mean,I_corr_mean
Newton_08_13_2025_SC,10,4,10,14,330,82,0.32321036390988833,367,667,512.7757902145386,2,0.1688385307788849,0.496,0.6580224749274182,0.521,0.6286702118687699,0.532,3.6067204,0.07468317,0.34530285,0.1058941,0.3029028495856684,0.3670963868802556
Newton_08_14_2025_SC,25,16,25,41,430,106,0.3607993645651578,527,827,1020.3468039035797,2,0.15866586565971375,0.001,0.4965036904011053,0.337,0.8597353010552413,0.001,13.478264,0.19632265,0.21956383,0.54761505,0.35180110025319744,0.3734952862335208
